1236: 3unique | 4count | 110sum
1237: 1unique | 1count | 1237sum
1241: 2unique | 2count | 90sum
1242: 3unique | 5count | 34sum
1243: 2unique | 2count | 124sum
1247: 2unique | 2count | 72sum
1248: 3unique | 7count | 26sum
1249: 1unique | 1count | 1249sum
1253: 2unique | 2count | 186sum
1254: 4unique | 4count | 35sum
1255: 2unique | 2count | 256sum
1259: 1unique | 1count | 1259sum
1260: 4unique | 6count | 22sum
1261: 2unique | 2count | 110sum
1265: 3unique | 3count | 39sum
1266: 3unique | 3count | 216sum
1267: 2unique | 2count | 188sum
1271: 2unique | 2count | 72sum
1272: 3unique | 5count | 62sum
1273: 2unique | 2count | 86sum
1277: 1unique | 1count | 1277sum
1278: 3unique | 4count | 79sum
1279: 1unique | 1count | 1279sum
1283: 1unique | 1count | 1283sum
1284: 3unique | 4count | 114sum
1285: 2unique | 2count | 262sum
1289: 1unique | 1count | 1289sum
1290: 4unique | 4count | 53sum
1291: 1unique | 1count | 1291sum
1295: 3unique | 3count | 49sum
1296: 2unique | 8count | 20sum
1297: 1unique | 1count | 1297sum
1301: 1unique | 1count | 1301sum
1302: 4unique | 4count | 43sum
1303: 1unique | 1count | 1303sum
1307: 1unique | 1count | 1307sum
1308: 3unique | 4count | 116sum
1309: 3unique | 3count | 35sum
1313: 2unique | 2count | 114sum
1314: 3unique | 4count | 81sum
1315: 2unique | 2count | 268sum
1319: 1unique | 1count | 1319sum
1320: 4unique | 6count | 25sum
1321: 1unique | 1count | 1321sum
1325: 2unique | 3count | 63sum
1326: 4unique | 4count | 35sum
1327: 1unique | 1count | 1327sum
1331: 1unique | 3count | 33sum
1332: 3unique | 5count | 47sum
1333: 2unique | 2count | 74sum
1337: 2unique | 2count | 198sum
1338: 3unique | 3count | 228sum
1339: 2unique | 2count | 116sum
1343: 2unique | 2count | 96sum
1344: 3unique | 8count | 22sum
1345: 2unique | 2count | 274sum
1349: 2unique | 2count | 90sum
1350: 3unique | 6count | 21sum
1351: 2unique | 2count | 200sum
1355: 2unique | 2count | 276sum
1356: 3unique | 4count | 120sum
1357: 2unique | 2count | 82sum
1361: 1unique | 1count | 1361sum
1362: 3unique | 3count | 232sum
1363: 2unique | 2count | 76sum
1367: 1unique | 1count | 1367sum
1368: 3unique | 6count | 31sum
1369: 1unique | 2count | 74sum
1373: 1unique | 1count | 1373sum
1374: 3unique | 3count | 234sum
1375: 2unique | 4count | 26sum
1379: 2unique | 2count | 204sum
1380: 4unique | 5count | 35sum
1381: 1unique | 1count | 1381sum
1385: 2unique | 2count | 282sum
1386: 4unique | 5count | 26sum
1387: 2unique | 2count | 92sum
1391: 2unique | 2count | 120sum
1392: 3unique | 6count | 40sum
1393: 2unique | 2count | 206sum
1397: 2unique | 2count | 138sum
1398: 3unique | 3count | 238sum
1399: 1unique | 1count | 1399sum
1403: 2unique | 2count | 84sum
1404: 3unique | 6count | 26sum
1405: 2unique | 2count | 286sum
1409: 1unique | 1count | 1409sum
1410: 4unique | 4count | 57sum
1411: 2unique | 2count | 100sum
1415: 2unique | 2count | 288sum
1416: 3unique | 5count | 68sum
1417: 2unique | 2count | 122sum
1421: 2unique | 3count | 43sum
1422: 3unique | 4count | 87sum
1423: 1unique | 1count | 1423sum
1427: 1unique | 1count | 1427sum
1428: 4unique | 5count | 31sum
1429: 1unique | 1count | 1429sum
1433: 1unique | 1count | 1433sum
1434: 3unique | 3count | 244sum
1435: 3unique | 3count | 53sum
1439: 1unique | 1count | 1439sum
1440: 3unique | 8count | 21sum
1441: 2unique | 2count | 142sum
1445: 2unique | 3count | 39sum
1446: 3unique | 3count | 246sum
1447: 1unique | 1count | 1447sum
1451: 1unique | 1count | 1451sum
1452: 3unique | 5count | 29sum
1453: 1unique | 1count | 1453sum
1457: 2unique | 2count | 78sum
1458: 2unique | 7count | 20sum
1459: 1unique | 1count | 1459sum
1463: 3unique | 3count | 37sum
1464: 3unique | 5count | 70sum
1465: 2unique | 2count | 298sum
1469: 2unique | 2count | 126sum
1470: 4unique | 5count | 24sum
1471: 1unique | 1count | 1471sum
1475: 2unique | 3count | 69sum
1476: 3unique | 5count | 51sum
1477: 2unique | 2count | 218sum
1481: 1unique | 1count | 1481sum
1482: 4unique | 4count | 37sum
1483: 1unique | 1count | 1483sum
1487: 1unique | 1count | 1487sum
1488: 3unique | 6count | 42sum
1489: 1unique | 1count | 1489sum
1493: 1unique | 1count | 1493sum
1494: 3unique | 4count | 91sum
1495: 3unique | 3count | 41sum
1499: 1unique | 1count | 1499sum
1500: 3unique | 6count | 22sum
1501: 2unique | 2count | 98sum
1505: 3unique | 3count | 55sum
1506: 3unique | 3count | 256sum
1507: 2unique | 2count | 148sum
1511: 1unique | 1count | 1511sum
1512: 3unique | 7count | 22sum
1513: 2unique | 2count | 106sum
1517: 2unique | 2count | 78sum
1518: 4unique | 4count | 39sum
1519: 2unique | 3count | 45sum
1523: 1unique | 1count | 1523sum
1524: 3unique | 4count | 134sum
1525: 2unique | 3count | 71sum
1529: 2unique | 2count | 150sum
1530: 4unique | 5count | 30sum
1531: 1unique | 1count | 1531sum
1535: 2unique | 2count | 312sum
1536: 2unique | 10count | 21sum
1537: 2unique | 2count | 82sum
1541: 2unique | 2count | 90sum
1542: 3unique | 3count | 262sum
1543: 1unique | 1count | 1543sum
1547: 3unique | 3count | 37sum
1548: 3unique | 5count | 53sum
1549: 1unique | 1count | 1549sum
1553: 1unique | 1count | 1553sum
1554: 4unique | 4count | 49sum
1555: 2unique | 2count | 316sum
1559: 1unique | 1count | 1559sum
1560: 4unique | 6count | 27sum
1561: 2unique | 2count | 230sum
1565: 2unique | 2count | 318sum
1566: 3unique | 5count | 40sum
1567: 1unique | 1count | 1567sum
1571: 1unique | 1count | 1571sum
1572: 3unique | 4count | 138sum
1573: 2unique | 3count | 35sum
1577: 2unique | 2count | 102sum
1578: 3unique | 3count | 268sum
1579: 1unique | 1count | 1579sum
1583: 1unique | 1count | 1583sum
1584: 3unique | 7count | 25sum
1585: 2unique | 2count | 322sum
1589: 2unique | 2count | 234sum
1590: 4unique | 4count | 63sum
1591: 2unique | 2count | 80sum
1595: 3unique | 3count | 45sum
1596: 4unique | 5count | 33sum
1597: 1unique | 1count | 1597sum
1601: 1unique | 1count | 1601sum
1602: 3unique | 4count | 97sum
1603: 2unique | 2count | 236sum
1607: 1unique | 1count | 1607sum
1608: 3unique | 5count | 76sum
1609: 1unique | 1count | 1609sum
1613: 1unique | 1count | 1613sum
1614: 3unique | 3count | 274sum
1615: 3unique | 3count | 41sum
1619: 1unique | 1count | 1619sum
1620: 3unique | 7count | 21sum
1621: 1unique | 1count | 1621sum
1625: 2unique | 4count | 28sum
1626: 3unique | 3count | 276sum
1627: 1unique | 1count | 1627sum
1631: 2unique | 2count | 240sum
1632: 3unique | 7count | 30sum
1633: 2unique | 2count | 94sum
1637: 1unique | 1count | 1637sum
1638: 4unique | 5count | 28sum
1639: 2unique | 2count | 160sum
1643: 2unique | 2count | 84sum
1644: 3unique | 4count | 144sum
1645: 3unique | 3count | 59sum
1649: 2unique | 2count | 114sum
1650: 4unique | 5count | 26sum
1651: 2unique | 2count | 140sum
1655: 2unique | 2count | 336sum
1656: 3unique | 6count | 35sum
1657: 1unique | 1count | 1657sum
1661: 2unique | 2count | 162sum
1662: 3unique | 3count | 282sum
1663: 1unique | 1count | 1663sum
1667: 1unique | 1count | 1667sum
1668: 3unique | 4count | 146sum
1669: 1unique | 1count | 1669sum
1673: 2unique | 2count | 246sum
1674: 3unique | 5count | 42sum
1675: 2unique | 3count | 77sum
