1160: 3count | 5sum
1161: 2count | 4sum
1162: 3count | 3sum
1163: 1count | 1sum
1164: 3count | 4sum
1165: 2count | 2sum
1166: 3count | 3sum
1167: 2count | 2sum
1168: 2count | 5sum
1169: 2count | 2sum
1170: 4count | 5sum
1171: 1count | 1sum
1172: 2count | 3sum
1173: 3count | 3sum
1174: 2count | 2sum
1175: 2count | 3sum
1176: 3count | 6sum
1177: 2count | 2sum
1178: 3count | 3sum
1179: 2count | 3sum
1180: 3count | 4sum
1181: 1count | 1sum
1182: 3count | 3sum
1183: 2count | 3sum
1184: 2count | 6sum
1185: 3count | 3sum
1186: 2count | 2sum
1187: 1count | 1sum
1188: 3count | 6sum
1189: 2count | 2sum
1190: 4count | 4sum
1191: 2count | 2sum
1192: 2count | 4sum
1193: 1count | 1sum
1194: 3count | 3sum
1195: 2count | 2sum
1196: 3count | 4sum
1197: 3count | 4sum
1198: 2count | 2sum
1199: 2count | 2sum
1200: 3count | 7sum
1201: 1count | 1sum
1202: 2count | 2sum
1203: 2count | 2sum
1204: 3count | 4sum
1205: 2count | 2sum
1206: 3count | 4sum
1207: 2count | 2sum
1208: 2count | 4sum
1209: 3count | 3sum
1210: 3count | 4sum
1211: 2count | 2sum
1212: 3count | 4sum
1213: 1count | 1sum
1214: 2count | 2sum
1215: 2count | 6sum
1216: 2count | 7sum
1217: 1count | 1sum
1218: 4count | 4sum
1219: 2count | 2sum
1220: 3count | 4sum
1221: 3count | 3sum
1222: 3count | 3sum
1223: 1count | 1sum
1224: 3count | 6sum
1225: 2count | 4sum
1226: 2count | 2sum
1227: 2count | 2sum
1228: 2count | 3sum
1229: 1count | 1sum
1230: 4count | 4sum
1231: 1count | 1sum
1232: 3count | 6sum
1233: 2count | 3sum
1234: 2count | 2sum
1235: 3count | 3sum
1236: 3count | 4sum
1237: 1count | 1sum
1238: 2count | 2sum
1239: 3count | 3sum
1240: 3count | 5sum
1241: 2count | 2sum
1242: 3count | 5sum
1243: 2count | 2sum
1244: 2count | 3sum
1245: 3count | 3sum
1246: 3count | 3sum
1247: 2count | 2sum
1248: 3count | 7sum
1249: 1count | 1sum
1250: 2count | 5sum
